tipo,fechahora,ubicacion,duracion,calorias,distancia,frecuencia,compartido
Elíptica,5/4/2019 16:19,Sevilla,47,216,9.32,90,S
Tenis,27/9/2020 10:17,Huelva,97,338,16.41,115,S
Elíptica,1/7/2021 3:47,Sevilla,57,357,19.74,129,N
Remo,7/2/2021 17:31,Málaga,127,261,18.83,124,N
Cinta,14/8/2020 8:51,Málaga,18,174,11.98,87,N
Tenis,10/4/2019 14:27,Málaga,77,312,4.05,90,S
Nadar,21/2/2021 5:01,Córdoba,82,392,3.14,113,S
Cinta,30/5/2019 3:39,Sevilla,125,277,6.81,135,N
Nadar,2/9/2021 9:09,Cádiz,60,322,7.39,100,N
Andar,26/9/2021 22:09,Cádiz,64,351,13.98,81,N
Andar,22/6/2019 9:54,Málaga,17,216,15.3,59,S
Yoga,22/10/2021 15:27,Málaga,54,260,0.15,55,S
Bici,24/11/2021 2:10,Cádiz,114,284,16.96,116,S
Cinta,5/8/2019 16:10,Sevilla,79,384,18.07,106,S
Yoga,15/9/2019 4:26,Málaga,43,215,0.09,112,N
Cinta,13/8/2019 2:35,Sevilla,51,174,13.37,140,N
Correr,2/11/2021 9:16,Córdoba,32,261,19.68,96,N
Pilates,27/9/2020 23:38,Málaga,33,307,9.25,102,S
Remo,28/7/2021 21:17,Córdoba,65,178,14.64,65,N
Tenis,17/12/2020 2:19,Córdoba,100,212,3.4,127,S
Cinta,3/12/2021 5:48,Cádiz,15,312,16.78,93,N
Senderismo,30/11/2021 11:13,Córdoba,71,199,5.88,114,N
Yoga,2/8/2019 6:14,Huelva,110,161,0.21,74,N
Correr,2/11/2020 9:43,Málaga,63,391,12.77,128,S
Correr,11/10/2019 7:41,Córdoba,39,254,17.87,140,N
Nadar,29/10/2020 2:22,Málaga,97,291,6.77,137,S
Tenis,26/4/2021 19:09,Sevilla,76,271,8.63,74,N
Correr,6/6/2020 11:44,Huelva,105,360,17.69,135,S
Elíptica,27/2/2019 5:04,Málaga,119,218,13.79,132,N
Pilates,24/7/2021 0:35,Huelva,114,203,5.45,101,S
Remo,16/1/2021 9:51,Córdoba,55,397,17.57,128,N
Cinta,8/5/2021 21:53,Huelva,119,291,8.56,57,S
Tenis,21/5/2021 15:15,Málaga,17,234,3.02,119,N
Cinta,21/2/2021 2:13,Cádiz,122,319,1.99,134,S
Yoga,10/12/2019 11:57,Córdoba,60,184,0.17,121,S
Nadar,4/1/2020 11:53,Córdoba,74,332,14.24,65,N
Remo,24/7/2019 20:04,Córdoba,18,178,2.9,127,N
Cinta,10/4/2020 6:34,Málaga,89,353,0.91,68,N
Correr,14/7/2019 2:52,Sevilla,49,173,10.0,123,N
Elíptica,20/9/2021 17:07,Córdoba,50,181,3.95,91,S
Yoga,21/6/2019 7:22,Sevilla,85,204,0.19,60,S
Elíptica,15/12/2020 0:09,Sevilla,16,329,8.24,71,N
Remo,28/9/2021 22:22,Cádiz,58,329,13.01,112,N
Remo,20/11/2021 5:11,Cádiz,123,267,13.8,98,S
Senderismo,14/9/2019 3:42,Sevilla,115,353,14.14,67,N
Andar,19/7/2020 15:03,Sevilla,119,292,15.03,128,N
Senderismo,7/8/2020 1:17,Sevilla,75,158,1.83,111,N
Elíptica,2/5/2020 20:14,Huelva,127,184,1.18,68,S
Elíptica,9/7/2019 23:13,Sevilla,30,158,1.06,104,N
Remo,15/5/2020 6:58,Málaga,56,304,2.54,61,N
Bici,19/8/2020 4:31,Huelva,26,309,11.47,70,N
Senderismo,27/4/2021 1:47,Málaga,63,253,4.88,88,S
Senderismo,15/3/2021 12:44,Málaga,116,310,8.25,97,N
Cinta,27/6/2021 11:34,Sevilla,112,218,9.05,97,S
Yoga,8/8/2020 20:15,Córdoba,35,192,0.21,130,N
Nadar,30/6/2021 11:38,Huelva,30,325,2.35,57,S
Pilates,23/6/2020 14:01,Córdoba,97,154,0.17,98,N
Pilates,17/7/2021 15:48,Sevilla,22,346,3.95,119,N
Bici,21/1/2021 16:18,Córdoba,117,399,6.23,58,S
Senderismo,15/4/2019 21:16,Málaga,87,213,18.19,89,N
Yoga,14/6/2021 19:00,Málaga,92,387,0.29,113,N
Senderismo,16/12/2019 13:48,Huelva,58,340,2.93,107,S
Elíptica,21/6/2020 8:41,Sevilla,42,239,7.54,64,N
Nadar,25/11/2019 17:25,Córdoba,71,349,6.93,94,S
Cinta,18/5/2020 6:16,Cádiz,34,381,17.67,86,S
Tenis,3/7/2021 1:28,Córdoba,73,162,0.08,110,S
Elíptica,2/6/2020 7:32,Málaga,120,205,2.49,112,S
Remo,7/5/2019 2:24,Málaga,73,210,14.85,75,S
Yoga,26/6/2019 23:55,Córdoba,88,319,0.09,92,N
Andar,22/9/2020 20:45,Sevilla,44,304,14.72,96,S
Elíptica,3/11/2020 5:14,Córdoba,37,302,2.63,75,S
Andar,10/4/2021 11:18,Huelva,85,311,3.86,86,S
